| رقم | الوحدة (Module)                                          | الوظيفة الأساسية                                                        | ملاحظات تكامل                                           |
| --- | -------------------------------------------------------- | ----------------------------------------------------------------------- | ------------------------------------------------------- |
| 1   | **المحاسبة المالية (Financial Accounting)**              | إدارة الحسابات العامة، القيود اليومية، موازين المراجعة، القوائم المالية | ترتبط مباشرة بكل الوحدات الأخرى لتوليد القيود التلقائية |
| 2   | **إدارة المخزون (Inventory Management)**                 | تعريف الأصناف والمخازن، تتبع الأرصدة، مراقبة الحركات، الجرد الدوري      | تتكامل مع المشتريات والمبيعات والأصول                   |
| 3   | **المبيعات والعملاء (Sales & CRM)**                      | إدارة العملاء، عروض الأسعار، أوامر البيع، الفواتير، المرتجعات           | تولّد قيود المبيعات والإيرادات تلقائياً                 |
| 4   | **المشتريات والموردين (Purchasing & SCM)**               | إدارة الموردين، طلبات الشراء، استلام البضاعة، فواتير الشراء             | تولّد قيود المشتريات والمخزون تلقائياً                  |
| 5   | **النقدية والبنوك (Cash & Bank Management)**             | إدارة الصناديق والبنوك، سندات القبض والصرف، تسويات البنوك               | تتكامل مع المحاسبة العامة والرواتب                      |
| 6   | **شؤون الموظفين والرواتب (HR & Payroll)**                | ملفات الموظفين، الحضور، الرواتب، البدلات والاستقطاعات                   | يولّد قيود الرواتب في المحاسبة المالية                  |
| 7   | **الأصول الثابتة (Fixed Assets)**                        | تسجيل الأصول، الإهلاك، نقل الأصول، البيع أو الاستبعاد                   | يرتبط بالمخزون والمحاسبة العامة                         |
| 8   | **التقارير والتحليلات (Reporting & Analytics)**          | إعداد التقارير ولوحات التحكم المالية والإدارية                          | يستمد البيانات من جميع الوحدات                          |
| 9   | **إدارة المستخدمين والصلاحيات (User & Role Management)** | تحديد صلاحيات الوصول، الأمان، سجلات النشاط                              | أساسي لجميع الوحدات                                     |
| 10  | **الإعدادات العامة (System Configuration)**              | تهيئة النظام، التعريفات الأساسية، الربط بين الوحدات                     | نقطة الانطلاق لأي إعداد أولي                            |
